Product_name,Price
Apple iPhone 6s (Space Grey| 32 GB),Rs.32999
Apple iPhone 6s (Gold| 32 GB),Rs.32999
Apple iPhone 6s (Rose Gold| 32 GB),Rs.32999
Apple iPhone SE (Space Grey| 32 GB),Rs.18999
Apple iPhone 7 (Black| 32 GB),Rs.46999
Apple iPhone SE (Rose Gold| 32 GB),Rs.18999
Apple iPhone 6 (Space Grey| 32 GB),Rs.24999
Apple iPhone 6s Plus (Rose Gold| 32 GB),Rs.38999
Apple iPhone 6s (Silver| 32 GB),Rs.33999
Apple iPhone 7 (Rose Gold| 32 GB),Rs.46999
Apple iPhone SE (Gold| 32 GB),Rs.18999
Apple iPhone 6s Plus (Space Grey| 32 GB),Rs.39999
Apple iPhone 7 (Gold| 32 GB),Rs.46999
Apple iPhone 6 (Gold| 32 GB),Rs.25999
Apple iPhone 6s Plus (Gold| 32 GB),Rs.38999
Apple iPhone X (Space Gray| 64 GB),Rs.90999
Apple iPhone 7 (Jet Black| 32 GB),Rs.46999
Apple iPhone 7 (Silver| 32 GB),Rs.46999
Apple iPhone SE (Silver| 32 GB),Rs.18999
Apple iPhone 6s Plus (Silver| 32 GB),Rs.38999
Apple iPhone 8 (Space Grey| 64 GB),Rs.62999
Apple iPhone X (Silver| 64 GB),Rs.90999
Apple iPhone XS Max (Space Grey| 256 GB),Rs.124900
Apple iPhone 8 Plus (Space Grey| 64 GB),Rs.71999
